650.9096 518865.52 533806.7 724.11039
650.91289 525003.68 533746.65 728.49081
650.91618 525851 533686.63 729.18606
650.91947 524430.2 533626.65 728.30541
650.92276 527711.43 533566.69 730.68337
650.92604 521590.09 533506.77 726.53335
650.92933 521891.58 533446.88 726.84128
650.93262 524581.68 533387.02 728.80807
650.9359 524609.36 533327.2 728.92105
650.93919 527239.42 533267.4 730.83768
650.94248 527389 533207.64 731.03092
650.94576 525045.85 533147.9 729.49236
650.94905 520710.46 533088.2 726.55905
650.95233 530318.79 533028.53 733.31512
650.95562 527694.81 532968.9 731.57971
650.9589 526729.52 532909.29 730.98918
650.96219 529933.32 532849.72 733.28599
650.96547 525377.4 532790.18 730.20179
650.96875 522813.73 532730.67 728.49055
650.97204 524979.59 532671.19 730.06863
650.97532 528451.07 532611.74 732.54742
650.9786 524991.82 532552.33 730.21263
650.98189 527202.07 532492.94 731.81314
650.98517 529857.65 532433.59 733.7172
650.98845 525523.82 532374.27 730.77153
650.99173 528857.92 532314.98 733.14547
650.99501 525956.64 532255.72 731.18916
650.9983 520570.45 532196.5 727.49094
651.00158 527487.11 532137.31 732.36191
651.00486 528175.43 532078.14 732.8918
651.00814 525004.62 532019.01 730.7389
651.01142 520889.74 531959.91 727.91798
651.0147 524209.67 531900.85 730.28088
651.01798 525978.3 531841.81 731.55707
651.02126 519523.27 531782.8 727.09756
651.02454 524115.95 531723.83 730.34624
651.02782 530246.06 531664.89 734.64544
651.03109 520458.95 531605.98 727.87253
651.03437 521528.18 531547.1 728.6569
651.03765 521647.46 531488.26 728.77572
651.04093 520957.98 531429.44 728.32792
651.04421 524456.14 531370.66 730.80176
651.04748 523242.23 531311.9 729.98658
651.05076 522424.25 531253.18 729.44539
651.05404 523609.08 531194.5 730.30031
651.05731 524404.97 531135.84 730.88195
651.06059 519365.33 531077.21 727.38684
651.06386 514517.51 531018.62 724.00796
651.06714 522508.63 530960.05 729.63135
651.07041 528219.24 530901.52 733.62914
651.07369 523053.78 530843.02 730.05332
651.07696 521820.74 530784.55 729.21108
651.08024 523521.83 530726.12 730.41623
651.08351 521360.3 530667.71 728.92305
651.08679 522453.88 530609.33 729.7022
651.09006 526602.22 530550.99 732.60739
651.09333 519839.97 530492.68 727.90103
651.09661 522042.45 530434.4 729.45295
651.09988 522320.86 530376.15 729.65786
651.10315 530688.19 530317.93 735.48843
651.10642 520721.3 530259.75 728.55729
651.1097 524318.57 530201.59 731.07668
651.11297 523317.73 530143.47 730.3847
651.11624 529364.04 530085.38 734.5971
651.11951 520905.65 530027.32 728.70872
651.12278 519428.26 529969.29 727.67772
651.12605 527329.2 529911.29 733.1933
651.12932 528947.41 529853.32 734.31867
651.13259 523487.64 529795.39 730.51934
651.13586 522895.24 529737.48 730.10531
651.13913 521163.69 529679.61 728.89398
651.1424 521762.65 529621.77 729.31041
651.14567 520973.47 529563.96 728.75554
651.14894 522968.24 529506.18 730.14541
651.1522 525417.28 529448.44 731.84831
651.15547 524803.58 529390.72 731.41528
